## results for negative sampling

r	f	acc_dev		acc_test	#sent/sec	#sent for max acc	time for max acc
20	0	0.2563		0.2451		42.7		102612			2403
100	0	0.2609		0.2499		38.2		115684			3031
500	0	0.2634		0.2505		23.7		109648			4617


r	f	acc_dev		acc_test	#sent/sec	#sent for max acc	time for max acc
20	0.1	0.2324		0.2206		36.0		30144			836 
20	0.2	0.2052		0.1997		43.7		14072			321
20 	0.3	0.1827		0.1762		41.7		12036			288
20 	0.4	0.1573		0.1493		41.7		19108			458
20	0.5	0.1355		0.1297		41.6		13072			314
20 	0.6	0.1096		0.1090		46.5		14072			302
20 	0.7	0.1026		0.1006		45.8		16072			350
20 	0.8	0.0944		0.0930		44.6		22180			495
20 	0.9	0.0934		0.0919		45.4		26144			576
20 	1.0	0.0883		0.0858		47.92		13072			272


