## results for hinge loss with negative sampling

r       f       acc_dev         acc_test        #sent/sec       #sent for max acc       time for max acc
20	0	0.2629		0.2474		38.9		99576			2559
100	0 	0.2769		0.2624		36.3		103612			2855
500	0	0.2761		0.2578		24.1		120684			5018



r       f       acc_dev         acc_test        #sent/sec       #sent for max acc       time for max acc
20	0.1	0.2613		0.2490		44.8		115684			2584
20 	0.2	0.2575		0.2377		43.8		119684			2733
20 	0.3	0.2557		0.2387		45.1		108612			2410
20	0.4	0.2391		0.2227		46.4		119684			2581
20 	0.5	0.2213		0.2108		45.2		109648			2423
20	0.6	0.1956		0.1894		45.8		120684			2636
20	0.7	0.1816		0.1655		43.7		115684			2647
20	0.8	0.1625		0.1536		46.8		106612			2276
20	0.9	0.1509		0.1433		45.0		114648			2546
20	1.0	0.1391		0.1332		45.0		96540			2145
