s,beta,g,acc
0.1,0.01,0.01,0.8329632179672424
0.1,0.01,0.1,0.8300777188394648
0.1,0.01,0.5,0.8007550999957979
0.1,0.01,0.9,0.6925327204610765
0.1,0.1,0.01,0.8331399251580398
0.1,0.1,0.1,0.8305065570220097
0.1,0.1,0.5,0.8007497125814442
0.1,0.1,0.9,0.6925036284235672
0.1,0.5,0.01,0.8318232410900248
0.1,0.5,0.1,0.8302673558247108
0.1,0.5,0.5,0.8011268315861949
0.1,0.5,0.9,0.6912418959819586
0.1,0.9,0.01,0.8309677196906762
0.1,0.9,0.1,0.8287157804908797
0.1,0.9,0.5,0.8014242168585125
0.1,0.9,0.9,0.6928624302195155
0.5,0.01,0.01,0.8330041623163296
0.5,0.01,0.1,0.8300518592505676
0.5,0.01,0.5,0.800811129105075
0.5,0.01,0.9,0.6925488827041372
0.5,0.1,0.01,0.8330558814941239
0.5,0.1,0.1,0.830475310018759
0.5,0.1,0.5,0.8009156449435345
0.5,0.1,0.9,0.6925284105295936
0.5,0.5,0.01,0.8319040523053285
0.5,0.5,0.1,0.8302382637872014
0.5,0.5,0.5,0.8011214441718413
0.5,0.5,0.9,0.691270988019468
0.5,0.9,0.01,0.830847041609156
0.5,0.9,0.1,0.8286392792070588
0.5,0.9,0.5,0.8014199069270296
0.5,0.9,0.9,0.6928451904935842
5.0,0.01,0.01,0.8327584962218063
5.0,0.01,0.1,0.8301326704658712
5.0,0.01,0.5,0.8007109231980984
5.0,0.01,0.9,0.6925456502555251
5.0,0.1,0.01,0.8334804097451861
5.0,0.1,0.1,0.8303115326224101
5.0,0.1,0.5,0.8008348337282308
5.0,0.1,0.9,0.692572587327293
5.0,0.5,0.01,0.8317445848404625
5.0,0.5,0.1,0.8300076824528682
5.0,0.5,0.5,0.800963054189846
5.0,0.5,0.9,0.6913388694403231
5.0,0.9,0.01,0.8308481190920267
5.0,0.9,0.1,0.8286382017241881
5.0,0.9,0.5,0.8013574129205281
5.0,0.9,0.9,0.692841958044972
20.0,0.01,0.01,0.8329158087209309
20.0,0.01,0.1,0.8302350313385893
20.0,0.01,0.5,0.8007766496532122
20.0,0.01,0.9,0.6925661224300687
20.0,0.1,0.01,0.8334233031530381
20.0,0.1,0.1,0.830622925172047
20.0,0.1,0.5,0.8007497125814442
20.0,0.1,0.9,0.6925693548786808
20.0,0.5,0.01,0.8319848635206322
20.0,0.5,0.1,0.830171459849217
20.0,0.5,0.5,0.8009652091555874
20.0,0.5,0.9,0.6914304554843339
20.0,0.9,0.01,0.830983881933737
20.0,0.9,0.1,0.8289442068594715
20.0,0.9,0.5,0.8012259600103008
20.0,0.9,0.9,0.6928505779079377
